Time(ns),ComponentType,ComponentID,EventType,Value
502000.00,PE,0,IDLE,0.62
503000.00,PE,0,IDLE,0.62
504000.00,PE,0,IDLE,0.62
505000.00,PE,0,IDLE,0.62
506000.00,PE,0,IDLE,0.62
507000.00,PE,0,IDLE,0.62
508000.00,PE,0,IDLE,0.62
509000.00,PE,0,IDLE,0.62
510000.00,PE,0,IDLE,0.62
511000.00,PE,0,IDLE,0.62
512000.00,PE,0,IDLE,0.62
513000.00,PE,0,IDLE,0.62
514000.00,PE,0,IDLE,0.62
515000.00,PE,0,IDLE,0.62
516000.00,PE,0,IDLE,0.62
517000.00,PE,0,IDLE,0.62
518000.00,PE,0,IDLE,0.62
519000.00,PE,0,IDLE,0.62
520000.00,PE,0,IDLE,0.62
521000.00,PE,0,IDLE,0.62
522000.00,PE,0,IDLE,0.62
523000.00,PE,0,IDLE,0.62
524000.00,PE,0,IDLE,0.62
525000.00,PE,0,IDLE,0.62
526000.00,PE,0,IDLE,0.62
527000.00,PE,0,IDLE,0.62
528000.00,PE,0,IDLE,0.62
529000.00,PE,0,IDLE,0.62
530000.00,PE,0,IDLE,0.62
531000.00,PE,0,IDLE,0.62
532000.00,PE,0,IDLE,0.62
533000.00,PE,0,IDLE,0.62
534000.00,PE,0,IDLE,0.62
535000.00,PE,0,IDLE,0.62
536000.00,PE,0,IDLE,0.62
537000.00,PE,0,IDLE,0.62
538000.00,PE,0,IDLE,0.62
539000.00,PE,0,IDLE,0.62
540000.00,PE,0,IDLE,0.62
541000.00,PE,0,IDLE,0.62
542000.00,PE,0,IDLE,0.62
543000.00,PE,0,IDLE,0.62
544000.00,PE,0,IDLE,0.62
545000.00,PE,0,IDLE,0.62
546000.00,PE,0,IDLE,0.62
547000.00,PE,0,IDLE,0.62
548000.00,PE,0,IDLE,0.62
549000.00,PE,0,IDLE,0.62
550000.00,PE,0,IDLE,0.62
551000.00,PE,0,IDLE,0.62
552000.00,PE,0,IDLE,0.62
553000.00,PE,0,IDLE,0.62
554000.00,PE,0,IDLE,0.62
555000.00,PE,0,IDLE,0.62
556000.00,PE,0,IDLE,0.62
557000.00,PE,0,IDLE,0.62
558000.00,PE,0,IDLE,0.62
559000.00,PE,0,IDLE,0.62
560000.00,PE,0,IDLE,0.62
561000.00,PE,0,IDLE,0.62
562000.00,PE,0,IDLE,0.62
563000.00,PE,0,IDLE,0.62
564000.00,PE,0,IDLE,0.62
565000.00,PE,0,IDLE,0.62
566000.00,PE,0,IDLE,0.62
567000.00,PE,0,IDLE,0.62
568000.00,PE,0,IDLE,0.62
569000.00,PE,0,IDLE,0.62
570000.00,PE,0,IDLE,0.62
571000.00,PE,0,IDLE,0.62
572000.00,PE,0,IDLE,0.62
573000.00,PE,0,IDLE,0.62
574000.00,PE,0,IDLE,0.62
575000.00,PE,0,IDLE,0.62
576000.00,PE,0,IDLE,0.62
577000.00,PE,0,IDLE,0.62
578000.00,PE,0,IDLE,0.62
579000.00,PE,0,IDLE,0.62
580000.00,PE,0,IDLE,0.62
581000.00,PE,0,IDLE,0.62
582000.00,PE,0,IDLE,0.62
583000.00,PE,0,IDLE,0.62
584000.00,PE,0,IDLE,0.62
585000.00,PE,0,IDLE,0.62
586000.00,PE,0,IDLE,0.62
587000.00,PE,0,IDLE,0.62
588000.00,PE,0,IDLE,0.62
589000.00,PE,0,IDLE,0.62
590000.00,PE,0,IDLE,0.62
591000.00,PE,0,IDLE,0.62
592000.00,PE,0,IDLE,0.62
593000.00,PE,0,IDLE,0.62
594000.00,PE,0,IDLE,0.62
595000.00,PE,0,IDLE,0.62
596000.00,PE,0,IDLE,0.62
597000.00,PE,0,IDLE,0.62
598000.00,PE,0,IDLE,0.62
599000.00,PE,0,IDLE,0.62
600000.00,PE,0,IDLE,0.62
601000.00,PE,0,IDLE,0.62
602000.00,PE,0,IDLE,0.62
603000.00,PE,0,IDLE,0.62
604000.00,PE,0,IDLE,0.62
605000.00,PE,0,IDLE,0.62
606000.00,PE,0,IDLE,0.62
607000.00,PE,0,IDLE,0.62
608000.00,PE,0,IDLE,0.62
609000.00,PE,0,IDLE,0.62
610000.00,PE,0,IDLE,0.62
611000.00,PE,0,IDLE,0.62
612000.00,PE,0,IDLE,0.62
613000.00,PE,0,IDLE,0.62
614000.00,PE,0,IDLE,0.62
