figure,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,source_objective_name,stored_TR2_composite_cost,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,45,ga_seed,,baseline_normalized_v2,1.703822947068032,5.5895184803023374,5.0,0.5895184803023374,11.790369606046758,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_45\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,45,ga_seed,,baseline_normalized_v2,1.340403416294608,9.203354581478825,6.000000000000001,3.2033545814788242,53.38924302464707,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_45\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,46,ga_seed,,baseline_normalized_v2,0.9709550333700012,9.210502658949185,6.000000000000001,3.210502658949184,53.50837764915306,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_46\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,46,ga_seed,,baseline_normalized_v2,1.3963465314582084,6.375000176109017,6.000000000000001,0.37500017610901626,6.250002935150278,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_46\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,46,ga_seed,,baseline_normalized_v2,1.607831519403817,6.85736046255488,5.0,1.8573604625548796,37.1472092510976,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_46\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,46,ga_seed,,baseline_normalized_v2,1.2739974829839977,8.795747140814411,6.000000000000001,2.7957471408144103,46.59578568024016,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_46\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,47,ga_seed,,baseline_normalized_v2,0.9709516406357334,9.338369661538357,6.000000000000001,3.338369661538356,55.6394943589726,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_47\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,47,ga_seed,,baseline_normalized_v2,1.4169731565169426,5.152655994629328,6.000000000000001,-0.8473440053706724,-14.1224000895112,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_47\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,47,ga_seed,,baseline_normalized_v2,1.702803359861764,5.811723310627577,5.0,0.8117233106275767,16.234466212551535,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_47\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,47,ga_seed,,baseline_normalized_v2,1.258538117607029,11.18792295508632,6.000000000000001,5.187922955086319,86.46538258477196,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_47\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,48,ga_seed,,baseline_normalized_v2,1.160495769029584,7.413866161611383,6.000000000000001,1.4138661616113817,23.564436026856363,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_48\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,48,ga_seed,,baseline_normalized_v2,1.4072406307707404,5.360684538778443,6.000000000000001,-0.6393154612215577,-10.655257687025966,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_48\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,48,ga_seed,,baseline_normalized_v2,1.6112448228718745,7.243911486004786,5.0,2.2439114860047864,44.87822972009572,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_48\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,48,ga_seed,,baseline_normalized_v2,1.2956259885473704,10.913982586229139,6.000000000000001,4.913982586229138,81.89970977048561,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_48\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,49,ga_seed,,baseline_normalized_v2,1.1612819813754007,7.398371554062128,6.000000000000001,1.3983715540621269,23.306192567702123,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_49\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,49,ga_seed,,baseline_normalized_v2,1.4238870126745138,4.901863087806651,6.000000000000001,-1.0981369121933495,-18.302281869889157,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_49\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,49,ga_seed,,baseline_normalized_v2,1.6072452178463656,8.134053097325747,5.0,3.134053097325747,62.68106194651495,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_49\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,49,ga_seed,,baseline_normalized_v2,1.405499531832461,8.800756419554643,6.000000000000001,2.8007564195546424,46.679273659244025,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_49\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,40,ga_seed,,baseline_normalized_v2,0.10285204991087343,7.000328538708645,6.000000000000001,1.0003285387086445,16.672142311810735,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_40\gen_60\gemm\metrics.json
figure4,MPEG4,comm-only,ablation,B-2-v4-ablation,comm-only,40,ga_seed,,baseline_normalized_v2,0.23393939393939395,4.936178365351768,6.000000000000001,-1.0638216346482325,-17.730360577470538,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_40\gen_60\mpeg4\metrics.json
figure4,VOPD,comm-only,ablation,B-2-v4-ablation,comm-only,40,ga_seed,,baseline_normalized_v2,0.26201846545686086,6.025908085670989,5.0,1.0259080856709888,20.51816171341978,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_40\gen_60\vopd\metrics.json
figure4,HNN,comm-only,ablation,B-2-v4-ablation,comm-only,40,ga_seed,,baseline_normalized_v2,0.5566417910447762,6.617329352542236,6.000000000000001,0.6173293525422352,10.288822542370578,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_40\gen_60\hnn\metrics.json
figure4,GEMM,comm-only,ablation,B-2-v4-ablation,comm-only,41,ga_seed,,baseline_normalized_v2,0.11461675579322637,6.934558829910377,6.000000000000001,0.934558829910376,15.575980498506258,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\comm-only\seed_41\gen_60\gemm\metrics.json
