figure,workload,method,seed,metric_group,metric_name,metric_label,unit,reference_method,reference_metric,method_metric,delta_vs_reference,relative_change_pct_vs_reference,full_objective_comparable_score,valid,validity_notes,metrics_path
figure3,MPEG4,Full-GA,42,thermal_safety,N_hot,N_hot,count,ReferenceMapping,2.0,0.0,-2.0,-100.0,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,performance,makespan_us,makespan,us,ReferenceMapping,122.06989999999999,121.3516,-0.7182999999999851,-0.5884333484339588,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,0.07168423611111063,0.0,-0.07168423611111063,-100.0,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,420000.0,388000.0,-32000.0,-7.619047619047614,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,88000.0,48000.0,-40000.0,-45.45454545454546,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.5670623064060744,0.7644253172884515,0.19736301088237718,34.804466573210235,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,1.1328804365769536,1.1261318681507333,-0.006748568426220292,-0.59569997047626,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,VOPD,Full-GA,42,thermal_safety,T_max_C,T_max,C,ReferenceMapping,52.22271921261,51.86541027742004,-0.35730893518996254,-0.6842020878600419,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,0.9870939912641029,0.9079904142012913,-0.07910357706281157,-8.01378366831198,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,thermal_safety,N_hot,N_hot,count,ReferenceMapping,0.0,0.0,0.0,,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,performance,makespan_us,makespan,us,ReferenceMapping,89.3329,87.6888,-1.6440999999999946,-1.8404193751686004,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,0.0,0.0,0.0,,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,1396000.0,1154000.0,-242000.0,-17.335243553008596,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,252000.0,136000.0,-116000.0,-46.03174603174603,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.35802469135802467,0.35802469135802467,0.0,0.0,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,VOPD,Full-GA,42,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,0.7507385223064373,0.7402316792300394,-0.010506843076397931,-1.3995342937936028,4.44974612228009,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\vopd\metrics.json
figure3,HNN,Full-GA,42,thermal_safety,T_max_C,T_max,C,ReferenceMapping,55.66757624162,54.72792989865002,-0.9396463429699793,-1.687959861754229,4.986974793468414,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,42,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,2.454372247071413,1.7196509289544641,-0.7347213181169487,-29.935203145880873,4.986974793468414,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json
figure3,HNN,Full-GA,42,thermal_safety,N_hot,N_hot,count,ReferenceMapping,16.0,5.0,-11.0,-68.75,4.986974793468414,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\hnn\metrics.json
